Pixel,ReferenceIntensityADC_MedianLensReplicates,ReferenceIntensityADC_StdLensReplicates,ReferenceCV
21,2295.3742109671243,4.693840084525488,0.0020449127911687233
22,2295.264152045115,4.708383286182283,0.0020513470233859757
23,2295.1260979790954,4.707044045889747,0.002050886898996266
24,2294.990850138015,4.7066617292521835,0.0020508411739284874
25,2294.8584085218736,4.707128092309735,0.002051162753584267
26,2294.728773130671,4.708337421965325,0.002051805632585413
27,2294.601943964408,4.710186713625576,0.002052724973067763
28,2294.4779210230827,4.712575819159853,0.0020538771700442282
29,2294.385531731707,4.716852044664203,0.002055823652751209
30,2294.294000866283,4.720969450365445,0.002057700298472163
31,2294.222572855104,4.7256474117118925,0.0020598033807290718
32,2294.150757027123,4.72984664681211,0.0020616982699695314
33,2294.0785969572635,4.714961651847323,0.002055274678949964
34,2294.0061362204465,4.700676364572101,0.002049112376097141
35,2293.933418391593,4.686986757900224,0.002043209589398866
36,2293.8604870456247,4.673888123371523,0.0020375642502091537
37,2293.7873857574637,4.66137501358662,0.0020321739680538536
38,2293.7141581020296,4.6494411883186375,0.002027036007034936
39,2293.640847654245,4.638079564485186,0.0020221472639138983
40,2293.567497989031,4.627282170154138,0.0020175042479505297
41,2293.494152681309,4.617040102721855,0.0020131030625581076
42,2293.440073589341,4.607305812497473,0.0020089061255857557
43,2293.3847874720495,4.6125122373861265,0.0020112247463149884
44,2293.3283553343244,4.617313216143116,0.002013367691287277
45,2293.270838181056,4.621702815753972,0.002015332309994291
46,2293.212297017136,4.625674293883309,0.002017115598019464
47,2293.152792847451,4.629220106918178,0.0020187142005352325
48,2293.0923866768935,4.632331919122332,0.002020124416284605
49,2293.0311395103536,4.635000612871447,0.0020213422020344605
50,2292.969112352719,4.637216299921316,0.0020223631774800768
51,2292.906366208882,4.638968333687575,0.002023182630591976
52,2292.842962083731,4.64024532249032,0.0020237955233852016
53,2292.778960982157,4.641035143735545,0.002024196498099174
54,2292.7144239090494,4.641324958988039,0.002024379883768794
55,2292.649411869299,4.641101229911428,0.002024339703176567
56,2292.5839858677946,4.640349735035198,0.002024069680168651
57,2292.5182069094267,4.639055587318635,0.0020235632473220816
58,2292.452135999086,4.6372032524755245,0.002022813553947795
59,2292.3858341416612,4.634776568042475,0.0020218134744223264
60,2292.319362342043,4.647176838021011,0.002027281588405304
61,2292.2623907467914,4.657211501023744,0.002031709598265703
62,2292.233549377807,4.663156541813615,0.0020343287197237647
63,2292.2021327309667,4.67267043478808,0.0020385071491147186
64,2292.168236671099,4.650111177480849,0.0020286954086032425
65,2292.1319570630285,4.627975251206866,0.002019070166072296
66,2292.0933897715854,4.606211839529791,0.002009609145981968
67,2292.062239803264,4.5837402805558085,0.001999832378438924
68,2292.0283446148937,4.5615270590989265,0.0019901704400018465
69,2291.9918087862857,4.539531308208313,0.00198060538035352
70,2291.9527368972526,4.517711706815234,0.0019711190523636706
71,2291.9016243859337,4.497206728618208,0.001962216301418757
72,2291.8584433818105,4.475566876568724,0.0019528112172428444
73,2291.8130313417114,4.453972657855774,0.0019434275819822243
74,2291.7654928454467,4.427065893956407,0.0019317272678103642
75,2291.715932472829,4.400462269848771,0.00192016043851497
76,2291.664454803669,4.3741177729105605,0.0019087077795101113
77,2291.5727278510985,4.353516273002801,0.0018997940672322764
78,2291.481889826925,4.333013236174426,0.0018909218769787865
79,2291.3920104510225,4.312515714016502,0.0018820506025800689
80,2291.303159443265,4.29193397817239,0.0018731410378778658
81,2291.2154065235277,4.271181650724059,0.0018641554340823605
82,2291.128821411684,4.282145947433764,0.0018690114267757806
83,2291.072301252618,4.285655396524975,0.0018705893280547457
84,2291.015140542207,4.286817857459245,0.0018711433990980513
85,2290.9670442869497,4.284088415013001,0.001869991288480712
86,2290.9178499436707,4.279146723248593,0.0018678743645713046
87,2290.8676620921847,4.271986849723936,0.0018647898874361215
88,2290.816585312302,4.23546772131603,0.0018488899322939981
89,2290.764724183833,4.198530446555456,0.0018328073600187519
90,2290.7121832865905,4.188139093582675,0.0018283131002401877
91,2290.6206306337062,4.181487544862836,0.0018254823557168507
92,2290.531204436986,4.1720999944201695,0.001821455209314939
93,2290.4439744163055,4.159979667609133,0.0018162328850105396
94,2290.359010291538,4.145130795481022,0.0018098170535078655
95,2290.2763817825585,4.1275587141484245,0.001802209876056915
96,2290.196158609241,4.0802806083213685,0.0017816293128354495
97,2290.1184104914605,4.059073886046156,0.0017724296994647876
98,2290.072034574099,4.02661461340364,0.0017582916836729543
