Pixel,card01_rep01_ReferenceCorrectedRatio,card01_rep02_ReferenceCorrectedRatio,card01_rep03_ReferenceCorrectedRatio,card01_rep04_ReferenceCorrectedRatio,card01_rep05_ReferenceCorrectedRatio,card02_rep01_ReferenceCorrectedRatio,card02_rep02_ReferenceCorrectedRatio,card02_rep03_ReferenceCorrectedRatio,card02_rep04_ReferenceCorrectedRatio,card02_rep05_ReferenceCorrectedRatio,card03_rep01_ReferenceCorrectedRatio,card03_rep02_ReferenceCorrectedRatio,card03_rep03_ReferenceCorrectedRatio,card03_rep04_ReferenceCorrectedRatio,card03_rep05_ReferenceCorrectedRatio,card04_rep01_ReferenceCorrectedRatio,card04_rep02_ReferenceCorrectedRatio,card04_rep03_ReferenceCorrectedRatio,card04_rep04_ReferenceCorrectedRatio,card04_rep05_ReferenceCorrectedRatio,card06_rep01_ReferenceCorrectedRatio,card06_rep02_ReferenceCorrectedRatio,card06_rep03_ReferenceCorrectedRatio,card06_rep04_ReferenceCorrectedRatio,card06_rep05_ReferenceCorrectedRatio,card07_rep01_ReferenceCorrectedRatio,card07_rep02_ReferenceCorrectedRatio,card07_rep03_ReferenceCorrectedRatio,card07_rep04_ReferenceCorrectedRatio,card07_rep05_ReferenceCorrectedRatio,card08_rep01_ReferenceCorrectedRatio,card08_rep02_ReferenceCorrectedRatio,card08_rep03_ReferenceCorrectedRatio,card08_rep04_ReferenceCorrectedRatio,card08_rep05_ReferenceCorrectedRatio,lens_rep01_ReferenceCorrectedRatio,lens_rep02_ReferenceCorrectedRatio,lens_rep03_ReferenceCorrectedRatio,lens_rep04_ReferenceCorrectedRatio,lens_rep05_ReferenceCorrectedRatio,lens_unlabelled_ReferenceCorrectedRatio
21,0.6430607807886028,0.6110409970037632,0.6365105375004617,0.6365105375004617,0.6372584313876486,0.6417988274704718,0.6428959042209169,0.6426282413951699,0.6458671868484611,0.6466170400534867,0.6056042782188913,0.6024117322064455,0.6022994196884792,0.602777157038153,0.6003792986472335,0.5570193776929151,0.5625318217108183,0.5567299450064457,0.5566627945653406,0.556713967102633,0.5885725799572465,0.5807166228479528,0.5848454934632111,0.5847624374465662,0.5825952398004621,0.5916569202168467,0.589798531260949,0.5939787701364617,0.5983763894507389,0.5940104981385049,0.548574974087599,0.548574974087599,0.5516328395418663,0.5521463380015663,0.56051500232584,1.0,1.00123947213448,0.9972444158466768,0.9661489501714752,0.9834467310474827,0.9412574934847325
22,0.6430082118327286,0.611030787230306,0.6364754848960017,0.6364754848960017,0.637173396771988,0.641798522138841,0.6429490706680555,0.6426906701770618,0.6458278257111213,0.6466221819958351,0.6055307078962456,0.6024322724350537,0.602256083896338,0.6027344186310136,0.6003594178983938,0.556985385308462,0.5624280689319708,0.5567424987417582,0.5566498076099488,0.5567487781240216,0.5885965603270811,0.5807892279529351,0.5848278625095619,0.5847009622615292,0.5826208794868625,0.5916567955167303,0.5899418342544741,0.5939608557084997,0.5982676082691368,0.5940408762558473,0.5486479884754129,0.5486479884754129,0.5516003483733541,0.5521954631773738,0.5604517618910065,1.0,1.0013091883625576,0.9972873114184905,0.9661784649586909,0.9833915514361544,0.9412999176964273
23,0.6429638771870843,0.6110282345397746,0.6364322689539131,0.6364322689539131,0.6370974065264924,0.6418067856558888,0.6430132126795383,0.6427443669582853,0.6457981301645213,0.6466331631915818,0.6054649390562206,0.6024601935192978,0.602221122358391,0.602681957748291,0.6003479439648535,0.5569595501431176,0.5623310266408219,0.5567619473077136,0.5566432122656543,0.5567907484634942,0.5886071952821488,0.5808688435311972,0.5848448873427577,0.5846470756629962,0.5826549138924726,0.5916642350664967,0.5900930397284326,0.5939502659094834,0.5981666975506968,0.5940746623423603,0.5487290756493369,0.5487290756493369,0.5515586626641082,0.5522519822638771,0.5603619991293651,1.0,1.0013770560914017,0.9973424559292823,0.9662197471585462,0.9833272011946764,0.9413539971150301
24,0.6429149950684232,0.6109916586004831,0.636390240508384,0.636390240508384,0.6370219364160444,0.6418150058726165,0.6430710466928026,0.6427985582370737,0.6457694337948515,0.6466413556894338,0.605398894820754,0.6024874116429789,0.6021864683653186,0.6026296080959308,0.6003368206376279,0.5569427719476956,0.5622332263373043,0.5567808199326556,0.5566355652485169,0.556832392339375,0.5886189250334583,0.5809476501011802,0.5848367529749037,0.5845929690197562,0.5826894987395834,0.5916713108920791,0.5902357752361976,0.5939097477702762,0.5980656889573269,0.594108339320216,0.5488108173121956,0.5488108173121956,0.551518272211167,0.5523084555815319,0.5602530604720292,1.0,1.0014430581033515,0.9973964672410015,0.9662598357306027,0.9832628940559647,0.9414070971095803
25,0.6428660692009119,0.6109568300843091,0.6363493999235509,0.6363493999235509,0.636930264400083,0.6418231827512129,0.6431270453483527,0.6428532021283133,0.6457417368840449,0.64664680833525,0.6053326247524078,0.6025139265819602,0.6021521372890777,0.6025774002665483,0.6003260480195124,0.5569177375480439,0.5621347479960512,0.5567865547010129,0.5566268929839391,0.5568569453580435,0.5886317231482533,0.5810256206474546,0.584830268414388,0.5845386804675247,0.5827246074153499,0.5916780342960509,0.590378895549807,0.5938999246609011,0.597964643604081,0.5941418880585145,0.5488931563156411,0.5488931563156411,0.5514791773917115,0.5523648525341692,0.5601473127680165,1.0,1.0015071938264106,0.9974493449551525,0.9662987341143693,0.9831986758349075,0.9414592135145005
26,0.6428171301390906,0.6109237342302786,0.6363097475549202,0.6363097475549202,0.6368402962859103,0.6418313162541756,0.6431518957299321,0.6429082567337963,0.6457150397067662,0.6466495700063885,0.6052661784269633,0.6025397381172122,0.6021181445028408,0.6025086149199823,0.6003156262107522,0.5568933940478765,0.5620356716153307,0.556792560585593,0.5566172219110123,0.5568822709703845,0.5886455631797721,0.5810859782155483,0.5848170286186014,0.5844758731828129,0.5827602132968752,0.5916844165862076,0.5905223090629602,0.5938895089720175,0.5978636226205412,0.594166914453397,0.5489760354936096,0.5489760354936096,0.5514413785735034,0.5524211425190425,0.560044756957787,1.0,1.0015694627021419,0.9975010886814635,0.966332258274171,0.9831345923564293,0.9415103421704584
27,0.6427682084445758,0.6108923562613309,0.6362712837493604,0.6362712837493604,0.6367520440865134,0.6418394063443116,0.6431768871569014,0.6429636801427309,0.6456893425304067,0.6466245633140841,0.6052079808651648,0.602556470602472,0.6020845053808099,0.6024369748469184,0.6002888044443523,0.5568697416536059,0.5619360772160716,0.5567988262161996,0.5566065784821959,0.5569083388301254,0.5886604186675662,0.5811465756924458,0.5848059434468277,0.5843925866916855,0.5827962897515319,0.5916904690754315,0.5906659241462798,0.5938785272276671,0.5977626871500744,0.5941923393183617,0.5490593976630157,0.5490593976630157,0.551404876114879,0.5524772949271991,0.5599453939585937,1.0,1.0016298641856796,0.9975516980378957,0.9663648816441535,0.9830706894549333,0.941531164911212
28,0.6427193346856892,0.6108626813844968,0.6362340088450956,0.6362340088450956,0.6366655198049732,0.641847452984739,0.643201992973254,0.6430194304322497,0.6456646456150802,0.6465986585922082,0.605149141202334,0.6025730642940306,0.6020512352980296,0.6023669659414103,0.6002634637456409,0.5568467805666201,0.561836044840894,0.5568053402181883,0.556594989162998,0.556935118578763,0.5886762631378201,0.5812073711149215,0.5848053511996679,0.5843321425604078,0.5828328101372864,0.5916962030815544,0.5908180250334862,0.5938670059619756,0.597661898349089,0.5941804445557286,0.5491431856244459,0.5491431856244459,0.5513864221348623,0.5525332791438538,0.5598701643771166,1.0,1.0016883977457405,0.997601172650648,0.9664007918977723,0.9830070129737448,0.9415822848156166
29,0.6426624647100926,0.6108270200602516,0.6361899297688169,0.6361899297688169,0.6365727372216511,0.6418473916528727,0.643248421573602,0.6430673858532996,0.6456328371654051,0.6465553824121841,0.6050737377555597,0.602590316598353,0.602010785670876,0.6022952207508804,0.6002488000882977,0.5568258910767533,0.5617285967190283,0.5568050952397902,0.5565461705655702,0.5569555819823285,0.5886856735676063,0.5812610192600602,0.5848240542667625,0.5842439188245995,0.5828624244331192,0.5917109480352779,0.5909621539454067,0.5938475103269111,0.5975538094266082,0.5941639725303908,0.549220441487357,0.549220441487357,0.5513444550189082,0.5525821216354623,0.5598231880805927,1.0,1.001732476605574,0.9976369773529739,0.966423375670293,0.9829270706220654,0.9416205472037003
30,0.6425769320268996,0.6108103039182861,0.6361475805701672,0.6361475805701672,0.6364822483512732,0.6418478308811774,0.6432641595066048,0.6431161282190477,0.6456025775121713,0.6464914341616919,0.6049988862716295,0.6025989834600449,0.6019880002318192,0.6022253602468853,0.6002349666643686,0.5568056006626189,0.5616213495485151,0.5568055478628111,0.556498909942087,0.5569771681291016,0.588696518758309,0.5813152728099746,0.5848430414254558,0.5841581378969888,0.5828929227003975,0.5917247681477551,0.591106149269674,0.5938280321446001,0.5974464986739648,0.5941675854273164,0.5492984723761797,0.5492984723761797,0.5513210218011554,0.5526312019215566,0.5597762283686514,1.0,1.0017755346422372,0.9976724914222789,0.9664455977599666,0.982848564100708,0.9416292582531446
