Pixel,card01_MeanReferenceCorrectedRatio,card02_MeanReferenceCorrectedRatio,card03_MeanReferenceCorrectedRatio,card04_MeanReferenceCorrectedRatio,card06_MeanReferenceCorrectedRatio,card07_MeanReferenceCorrectedRatio,card08_MeanReferenceCorrectedRatio
21,0.6328762568361876,0.6439614399977013,0.6026943771598405,0.5579315812156306,0.5842984747030877,0.5935642218407002,0.5522888256088941
22,0.6328326731254051,0.643977654138183,0.6026625801514089,0.5579109077432323,0.5843070985075939,0.5935735940009377,0.5523087100785121
23,0.6327908112322355,0.6439991317299631,0.6026352313294108,0.5578972969641602,0.5843245831423145,0.5935897801194938,0.5523261590712047
24,0.6327418142203437,0.6440190800573556,0.602607840712522,0.5578849551611095,0.5843371591737764,0.5935981724352193,0.5523402845778238
25,0.6326903927064811,0.6440383950894348,0.6025804273819012,0.5578645757174182,0.5843501800185941,0.5936126772338708,0.5523555310650359
26,0.632640131153024,0.6440512156862117,0.6025496604355502,0.5578442238260394,0.584356931298722,0.5936253543390247,0.5523718698075105
27,0.6325910352582282,0.644058775897687,0.6025149472279435,0.5578239124796396,0.5843603628500114,0.593637989383563,0.5523892720653406
28,0.6325431107130701,0.6440664361195062,0.6024807740962891,0.5578036546734927,0.5843707876300207,0.5936447153963668,0.5524152473809448
29,0.6324884163059258,0.6440702837314728,0.6024437721727933,0.557772267116694,0.5843754180704296,0.593647678852919,0.5524381295419355
30,0.6324329290873587,0.6440644260561387,0.6024092393749495,0.5577417152290267,0.5843811787182251,0.5936546067326621,0.5524650793687446
31,0.6323740326782186,0.6440508356160726,0.6023594606970224,0.5577006286005562,0.5843823118151135,0.5936552611407702,0.5524878667421524
32,0.6323173789673229,0.64403882788973,0.6023114590403631,0.557657800846165,0.5843798862245209,0.5936567293564571,0.5525114095428092
33,0.6322629591661526,0.6440258608685645,0.602274445782915,0.5576151261114249,0.5843800752787163,0.5936682106992733,0.5525356814030529
34,0.632214115534375,0.6440070487592079,0.6022251759025691,0.5575693559682631,0.5843785991608738,0.5936714746471907,0.552560655950753
35,0.6321672620336871,0.6439870581735974,0.6021746119002188,0.5575291955119097,0.5843748124587986,0.593668754591957,0.5525762533612804
36,0.6321223929084236,0.6439694286169823,0.6021296749448023,0.5575011046686458,0.5843731501306589,0.5936630012012191,0.5525931793702445
37,0.6320853672913924,0.6439507678385242,0.6020800743511927,0.5574751753743696,0.5843735716421059,0.5936586652855906,0.5526113985352307
38,0.6320490807680952,0.643937964016024,0.6020321199981207,0.5574454816344823,0.584378550056827,0.5936557220234097,0.5526199831322609
39,0.6320135894095982,0.6439340986768217,0.6019833412508545,0.5574190621733889,0.5843811720757905,0.5936440918603367,0.5526414179006844
40,0.6319806243790475,0.6439328131883223,0.6019414913032533,0.5573966336806423,0.5843967646717216,0.5936403488989895,0.5526640296327161
41,0.631949289224285,0.6439398817807829,0.601907946107412,0.5573788578415481,0.5844128195230882,0.5936390358044811,0.5526877828625688
42,0.6319142874544184,0.6439552876617902,0.6018814426646595,0.5573574817008886,0.5844253015491565,0.5936309030821727,0.5527080105656215
43,0.6318754052255643,0.6439713448002429,0.6018599747027947,0.5573374900175118,0.5844452713503842,0.5936290013672784,0.5527304591106021
44,0.6318388984425253,0.6439880315776751,0.6018483402643248,0.5573222291885161,0.584467267505943,0.5936439065531633,0.5527541942782035
45,0.6318114599742186,0.6440086784911732,0.6018375927187333,0.557308115223476,0.5844912013052708,0.5936594843953948,0.5527791771725784
